iter	Passed	Remaining
0	152	152592
1	154	77106
2	156	51997
3	160	39978
4	162	32416
5	179	29680
6	180	25609
7	181	22500
8	183	20165
9	184	18274
10	185	16710
11	186	15383
12	188	14346
13	190	13391
14	191	12560
15	192	11833
16	194	11241
17	197	10794
18	199	10282
19	200	9823
20	201	9403
21	202	9021
22	203	8661
23	205	8339
24	206	8039
25	207	7765
26	208	7517
27	209	7272
28	210	7051
29	211	6844
30	212	6646
31	213	6470
32	215	6318
33	217	6176
34	218	6023
35	219	5882
36	220	5747
37	221	5615
38	222	5488
39	223	5369
40	225	5271
41	226	5165
42	227	5062
43	228	4963
44	229	4880
45	231	4795
46	232	4711
47	233	4630
48	234	4556
49	235	4482
50	237	4411
51	238	4344
52	239	4277
53	240	4210
54	241	4148
55	242	4087
56	243	4029
57	244	3978
58	246	3930
59	247	3878
60	248	3827
61	250	3782
62	251	3739
63	252	3696
64	254	3654
65	255	3612
66	256	3568
67	256	3518
68	257	3476
69	259	3443
70	260	3408
71	261	3376
72	263	3342
73	264	3309
74	265	3275
75	266	3243
76	267	3212
77	269	3181
78	270	3151
79	271	3122
80	272	3094
81	274	3071
82	275	3044
83	277	3020
84	277	2991
85	279	2967
86	280	2939
87	281	2914
88	282	2889
89	283	2867
90	284	2845
91	286	2824
92	287	2800
93	289	2785
94	290	2768
95	291	2748
96	292	2726
97	293	2704
98	294	2683
99	296	2664
100	297	2646
101	297	2622
102	298	2603
103	299	2584
104	301	2565
105	302	2549
106	303	2535
107	305	2520
108	306	2503
109	307	2485
110	308	2470
111	309	2456
112	310	2439
113	312	2425
114	313	2409
115	314	2393
116	315	2378
117	316	2362
118	316	2345
119	318	2332
120	319	2319
121	320	2306
122	320	2288
123	321	2274
124	322	2260
125	324	2247
126	325	2235
127	325	2219
128	327	2208
129	328	2196
130	329	2184
131	330	2172
132	331	2162
133	332	2151
134	334	2141
135	335	2131
136	336	2120
137	337	2107
138	338	2096
139	339	2086
140	340	2076
141	342	2066
142	342	2055
143	344	2046
144	345	2037
145	346	2027
146	347	2019
147	349	2012
148	350	2003
149	351	1993
150	353	1985
151	354	1976
152	355	1966
153	356	1956
154	357	1948
155	358	1940
156	359	1931
157	361	1926
158	362	1919
159	364	1911
160	365	1902
161	366	1894
162	367	1885
163	368	1876
164	369	1867
165	370	1860
166	371	1850
167	371	1841
168	373	1834
169	374	1826
170	375	1820
171	378	1819
172	379	1814
173	380	1806
174	381	1800
175	383	1793
176	384	1787
177	385	1780
178	386	1774
179	388	1767
180	388	1758
181	390	1753
